COMMON_CD_M,INCOME_AMT,INCOME_AMT,INCOME_AMT,INCOME_AMT
,sum,mean,median,count
0,1749391.0,174939.1,115730.5,10
8,0.0,0.0,0.0,1
A,68221535868.0,758750.5240399053,0.0,89913
B,650862726911.0,4664813.202636068,0.0,139526
C,17528932002.0,807747.6614902539,0.0,21701
D,13730009125.0,454801.71999735,0.0,30189
E,1554703476400.0,43121525.38969324,64870.0,36054
F,32127951733.0,2008248.0143142892,1.0,15998
G,29274708006.0,2416601.2882615156,0.0,12114
H,92007580845.0,17458743.993358634,6011.0,5270
I,10035540085.0,841131.5132847205,0.0,11931
J,23121204941.0,1830077.9595535856,0.0,12634
K,17041504264.0,1338898.8265241985,0.0,12728
L,32643885668.0,1360502.0283404184,106308.5,23994
M,5730184116.0,330498.5647710232,0.0,17338
N,27763965387.0,347084.2757650765,0.0,79992
O,13037102290.0,304384.728117485,0.0,42831
P,174176636554.0,1582949.083947543,0.0,110033
Q,54347301521.0,2603089.4492288535,0.0,20878
R,5589186257.0,824363.754719764,0.0,6780
S,63930599932.0,1152733.5003966822,0.0,55460
T,621869651600.0,6911736.316450491,81548.0,89973
U,31974807468.0,7175674.925493716,0.0,4456
V,3576797156.0,2451540.202878684,1.0,1459
W,27254614843.0,1186014.5710617928,0.0,22980
X,26108962845.0,426756.5028604119,0.0,61180
Y,321045601600.0,22637540.657171063,0.0,14182
Z,13699897539.0,1692181.0201333992,1135.0,8096
c,9810875.0,3270291.6666666665,657086.0,3
